SYMBOL,bb_Window,rsi_Window,stddev_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
TRXUSDT,20,10,2,-0.0006025435999999985,-3.612121368138005,0.4809580519547087,52.98507462686567,134,0.06750391492297281,-0.025794979602755223,0.8926054150896986,0.8985826953401196,-8.342165889184903,bb_20-rsi_10-stddev_2
TRXUSDT,20,10,3,-2.6216699999999925e-05,-0.1407736808589055,0.9542937309500554,60.60606060606061,33,0.025422696755117435,-0.008630868171108193,0.10312320621423714,0.005079619458548956,-114.1709597317737,bb_20-rsi_10-stddev_3
TRXUSDT,20,10,4,0.0001647309000000001,0.9881323038212098,inf,100.0,1,0.02405412283490449,-0.004791470413788287,0.6848343676077107,0.3873021055130752,,bb_20-rsi_10-stddev_4
TRXUSDT,20,10,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_10-stddev_5
TRXUSDT,20,12,2,-0.00048492100000000035,-2.8976754181923337,0.4857108252493695,54.08163265306123,98,0.058308248998995005,-0.021398256183998952,0.8316507669581339,0.864601784420615,-5.709844283914291,bb_20-rsi_12-stddev_2
TRXUSDT,20,12,3,-0.00016423240000000062,-0.8683974462047651,0.7415992668027644,52.0,25,0.038249921588240365,-0.015924817932017395,0.42936663182727297,0.3524025598457211,,bb_20-rsi_12-stddev_3
TRXUSDT,20,12,4,0.0001647309000000001,0.9881323038212098,inf,100.0,1,0.02405412283490449,-0.004791470413788287,0.6848343676077107,0.3873021055130752,,bb_20-rsi_12-stddev_4
TRXUSDT,20,12,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_12-stddev_5
TRXUSDT,20,14,2,-0.00044891139999999886,-2.6267578856294804,0.45835456905954697,54.794520547945204,73,0.060775451370453926,-0.02379717547038845,0.7386393517074523,0.8744651791242656,-4.289360662259864,bb_20-rsi_14-stddev_2
TRXUSDT,20,14,3,-0.00022941460000000025,-1.2175036790368488,0.6139010993357131,52.63157894736842,19,0.04608424025148716,-0.020005431816780925,0.49781573646013816,0.559029168871403,,bb_20-rsi_14-stddev_3
TRXUSDT,20,14,4,0.0001647309000000001,0.9881323038212098,inf,100.0,1,0.02405412283490449,-0.004791470413788287,0.6848343676077107,0.3873021055130752,,bb_20-rsi_14-stddev_4
TRXUSDT,20,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_14-stddev_5
PEPEUSDT,10,10,2,7.797380000000008e-08,1.2989471511366208,1.4457594319802665,62.96296296296296,108,5.799491475944052e-06,-1.1362149673054532e-06,1.344493742657107,0.8201508404191726,20.23201126532244,bb_10-rsi_10-stddev_2
PEPEUSDT,10,10,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_3
PEPEUSDT,10,10,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_4
PEPEUSDT,10,10,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_5
PEPEUSDT,10,12,2,4.429909999999998e-08,0.7579631577489635,1.2943078509376846,64.86486486486487,74,5.731754837423608e-06,-1.4074791929990756e-06,0.7728715071824701,0.7353218084461512,19.397247348140283,bb_10-rsi_12-stddev_2
PEPEUSDT,10,12,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_3
PEPEUSDT,10,12,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_4
PEPEUSDT,10,12,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_5
PEPEUSDT,10,14,2,5.7334600000000035e-08,1.0541257934064168,1.497415089216077,68.62745098039215,51,5.260000646156726e-06,-8.116306531922324e-07,1.0900112729433247,0.8688598420115379,10.3289619182832,bb_10-rsi_14-stddev_2
PEPEUSDT,10,14,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_3
PEPEUSDT,10,14,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_4
PEPEUSDT,10,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_5
PEPEUSDT,20,10,2,4.916760000000009e-08,0.8036335980583792,1.243070280253889,57.02479338842975,121,7.0220823378264186e-06,-1.6044793076839754e-06,0.700185466854255,0.6742696694329806,33.73768701339905,bb_20-rsi_10-stddev_2
PEPEUSDT,20,10,3,2.0166900000000032e-08,0.3667709558991312,1.1895360399393242,54.054054054054056,37,6.589874279594454e-06,-1.409800313674025e-06,0.306028600006025,0.621968301510917,48.94419568699207,bb_20-rsi_10-stddev_3
