SYMBOL,fastsma_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
DOGEUSDT,80,0.0006465864999999995,1.0090443185010025,1.6710862483191344,46.42857142857143,28,0.07105997468055403,-0.027797309738915987,0.9099165921556988,0.6212767239747022,35.40808600241425,fastsma_80
TRXUSDT,10,0.00013355849999999948,0.9802988328407051,1.3142125612093218,29.411764705882355,34,0.025845073452346323,-0.011168244925063816,0.5167657977303001,0.016701601021107182,64.07152521179871,fastsma_10
TRXUSDT,20,0.00021571410000000013,1.6049488965009167,1.6682851721333711,40.0,25,0.023543332086506386,-0.009266824314264926,0.9162428631911216,0.15474778544062873,,fastsma_20
TRXUSDT,30,0.00030343950000000024,2.3917947417482472,2.5814799140670863,52.63157894736842,19,0.013920796291100324,-0.005101828477933394,2.1797567729224765,0.5200686089812394,,fastsma_30
TRXUSDT,40,0.0003173533000000002,2.5330614212871927,2.97987455206077,61.111111111111114,18,0.010512822273467393,-0.004494364459919272,3.018726006630464,0.6127500887293289,,fastsma_40
TRXUSDT,50,0.0002878880999999996,2.275848322320638,2.905835646491604,57.89473684210527,19,0.011426503331735116,-0.0046122647381577,2.519476795674147,0.5301953120882061,,fastsma_50
TRXUSDT,60,0.00021789109999999988,1.7409775444500617,1.93750957340066,45.0,20,0.012861079701620426,-0.005190523087928085,1.6941897963088337,0.44539425387860143,,fastsma_60
TRXUSDT,70,0.00012061120000000022,0.9483991187903436,1.4155705260372458,40.909090909090914,22,0.015482713799208625,-0.007892510162534077,0.7790055513792749,0.0972077086954446,,fastsma_70
TRXUSDT,80,0.0001473655,1.1663861381096297,1.5245673530947663,52.17391304347826,23,0.013476376065046924,-0.00685005875425259,1.0935098522681876,0.2690146989599602,,fastsma_80
PEPEUSDT,10,8.506049999999994e-08,1.6925606496834316,2.1904348714475055,30.76923076923077,39,6.603009339301025e-06,-1.4903454790378514e-06,1.288208082543833,0.8370021104972281,25.50175110656533,fastsma_10
PEPEUSDT,20,6.456969999999996e-08,1.2823723980740034,1.7737095693831504,38.70967741935484,31,6.919429396123888e-06,-1.9242811319415294e-06,0.9331650964770372,0.756813825186613,27.182906223817056,fastsma_20
PEPEUSDT,30,5.956849999999992e-08,1.1892084107313168,1.7399151877099188,33.33333333333333,24,6.649239503442317e-06,-2.1038947351920583e-06,0.8958693692588642,0.7370136655001854,,fastsma_30
PEPEUSDT,40,3.9856400000000025e-08,0.7998215621966969,1.3736035470233687,33.33333333333333,21,7.598679463427516e-06,-2.4615744038117336e-06,0.5245174532210378,0.6159999430592444,,fastsma_40
PEPEUSDT,50,4.1864e-08,0.8341779821899944,1.4078789301849313,45.45454545454545,22,7.110669553167526e-06,-2.72572118917105e-06,0.5887490578345216,0.632417056287272,,fastsma_50
PEPEUSDT,60,1.8909199999999972e-08,0.38064289528554013,1.1749327669132725,33.33333333333333,24,7.726580319999954e-06,-3.039939614437625e-06,0.2447292232380506,0.355230463617639,,fastsma_60
PEPEUSDT,70,4.040440000000004e-08,0.799848404999016,1.5444551796439066,44.0,25,6.133509800054782e-06,-2.4084032647540064e-06,0.6587484379602551,0.5910146828236351,,fastsma_70
PEPEUSDT,80,-9.938099999999927e-09,-0.20155835983109752,0.9168706958349612,29.03225806451613,31,9.82309076302812e-06,-4.540874504754261e-06,0.10117080499148676,0.048382926852551966,-203.09880158179158,fastsma_80
HBARUSDT,10,-4.575600000000055e-05,-0.0980750985956613,0.9502491024266553,27.027027027027028,37,0.09503802016337382,-0.03717750843774026,0.048144942330810674,0.18681365817100481,-246.68526532039354,fastsma_10
HBARUSDT,20,9.196900000000022e-05,0.19806599613230777,1.1267952049742533,27.586206896551722,29,0.0900132677014942,-0.03646691624146432,0.102172715587875,0.40982980819342696,91.14776718242001,fastsma_20
HBARUSDT,30,0.0002534720000000003,0.5435675483763559,1.4524548610801218,34.61538461538461,26,0.09115775600028186,-0.03374518533054056,0.27805862180198526,0.62427439614578,32.31936466355254,fastsma_30
HBARUSDT,40,0.0002659270000000001,0.5734928511931611,1.503591441140322,24.0,25,0.09221355404911424,-0.032548626190857535,0.2883816839532761,0.6234213683501401,,fastsma_40
HBARUSDT,50,0.00014169100000000046,0.304699398629056,1.2173634910456512,39.130434782608695,23,0.08920376002339303,-0.03667061669291213,0.1588397170285681,0.2569105161873334,,fastsma_50
HBARUSDT,60,0.00010310000000000013,0.2221277932207567,1.1651838571632283,44.0,25,0.09021109663372995,-0.03730047113653829,0.11428749216806552,0.25675837384102873,,fastsma_60
