SYMBOL,Timeframe,Returns,Sharpe_Ratio,Number_of_Trade,Max_Drawdown,Parameter
LTCUSDT,8h,26.633499999999998,0.6989214382776363,5,-30.792908662845353,LTCUSDT_8h
LUNCUSDT,8h,5.527080000000049e-06,0.049223242197182604,4,-0.00012126672139585919,LUNCUSDT_8h
HBARUSDT,8h,0.27918765999999995,1.4435743264999852,5,-0.1151477438794839,HBARUSDT_8h
OMUSDT,8h,3.2643580500000007,1.3213767661343017,4,-0.8755276175053714,OMUSDT_8h
BNBUSDT,8h,82.80104798384686,1.3973043689212774,5,-33.487532005728745,BNBUSDT_8h
SOLUSDT,8h,29.874779700325178,0.7111550375206945,5,-55.35172584985369,SOLUSDT_8h
ZENUSDT,8h,12.111820000000002,0.6889632246454237,6,-17.972981179153003,ZENUSDT_8h
NEARUSDT,8h,-0.926832000000001,-0.1509156628856287,5,-5.946003758109302,NEARUSDT_8h
APTUSDT,8h,1.6279152000000012,0.22376738968174625,3,-7.737691513998522,APTUSDT_8h
ATOMUSDT,8h,1.0777479999999997,0.22581178275629715,4,-4.719417843015221,ATOMUSDT_8h
ALGOUSDT,8h,0.3136879,1.1552853917059984,5,-0.22876050827254027,ALGOUSDT_8h
SUIUSDT,8h,3.9053623,1.551433295231734,3,-0.8847111367792789,SUIUSDT_8h
DOTUSDT,8h,0.9901020000000013,0.21196558313401423,4,-4.87310452820516,DOTUSDT_8h
XLMUSDT,8h,0.24802979999999997,0.7726624597341936,8,-0.28977830271503063,XLMUSDT_8h
TRXUSDT,8h,0.10081058000000002,0.48089432493446954,4,-0.1949603376129678,TRXUSDT_8h
PEPEUSDT,8h,7.297669999999997e-06,0.45505750459207794,6,-1.3036477347761376e-05,PEPEUSDT_8h
BTCUSDT,12h,29.906330743926336,0.7971877697301841,4,-46.45862439896394,BTCUSDT_12h
DOGEUSDT,12h,0.29220589999999996,1.225169737256589,3,-0.2022512679613412,DOGEUSDT_12h
ETHUSDT,12h,1.3069735827612021,0.24731277938145166,3,-34.164152340185986,ETHUSDT_12h
LTCUSDT,12h,57.613539999999986,1.0940344147655332,5,-30.06565795200551,LTCUSDT_12h
LUNCUSDT,12h,1.8288440000000002e-05,0.1956425778290155,2,-8.476992385798117e-05,LUNCUSDT_12h
HBARUSDT,12h,0.25195471999999997,1.148834398351666,3,-0.13219455616569203,HBARUSDT_12h
OMUSDT,12h,3.3211976599999997,1.3426860399498939,3,-0.7969637087481425,OMUSDT_12h
BNBUSDT,12h,97.62181435225324,1.583963006094762,2,-25.744638020569127,BNBUSDT_12h
SOLUSDT,12h,-1.6643898998121784,0.3085278616685207,6,-63.45657847117611,SOLUSDT_12h
